"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","49","23","23","1","17.661652","0","23"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","49","23","23","1","16.737017","0","23"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","49","23","23","1","15.580552","0","23"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","49","23","23","1","14.322009","0","23"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","49","23","23","1","14.198928","0","23"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","49","23","23","1","14.448042","0","23"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","49","23","23","1","17.025322","0","23"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","49","23","23","1","15.547419","0","23"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","49","23","23","1","15.332817","0","23"
"/Game/StarterContent/Props/Materials/M_Lamp.M_Lamp","49","23","23","1","16.321257","0","23"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","49","23","23","1","16.764116","0","23"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","49","23","23","1","14.554634","0","23"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","49","23","23","1","14.228184","0","23"
"/Game/MapSystem/TRT/M_TRT_Map.M_TRT_Map","49","13","13","1","5.111201","0","13"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","49","23","23","1","15.622905","0","23"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","49","11","11","1","4.994555","0","11"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","49","11","11","1","5.163651","0","11"
"/Game/StarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","49","74","74","1","38.947048","0","0"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","49","23","23","1","16.480980","0","23"
"/Game/StarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","49","23","23","1","17.738749","0","23"
"/Game/StarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","49","23","23","1","14.766753","0","0"
"/Game/StarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","49","23","23","1","16.584995","0","0"
"/Game/StarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","49","23","23","1","16.405666","0","23"
"/Game/StarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","49","23","23","1","17.294397","0","23"
"/Game/StarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","49","23","23","1","16.990990","0","23"
"/Game/StarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","49","23","23","1","15.556849","0","23"
"/Game/StarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","49","23","23","1","15.822938","0","0"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","49","23","23","1","15.102983","0","23"
"/Game/StarterContent/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","49","23","23","1","17.382374","0","23"
"/Game/StarterContent/Props/Materials/M_Bush.M_Bush","49","44","46","1","26.904146","0","0"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","49","17","17","1","9.385250","0","17"
"/Game/StarterContent/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","49","23","23","1","15.067558","0","23"
"/Game/StarterContent/Materials/M_Brick_Cut_Stone.M_Brick_Cut_Stone","49","23","23","1","15.658894","0","23"
"/Game/StarterContent/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","49","23","23","1","13.948816","0","23"
"/Game/StarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","49","23","23","1","13.494825","0","23"
"/Game/StarterContent/Materials/M_Brick_Clay_Beveled.M_Brick_Clay_Beveled","49","23","23","1","14.196853","0","23"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","61","66","6","30.365551","0","66"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","7","7","1","2.460280","0","7"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","87","87","1","60.067635","0","87"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","127","127","1","78.575363","0","127"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","949","970","1","593.915100","0","970"
